#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-27T16:24:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e57ecdb58ba	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/140/34&tab:{J/AJ/140/34/table3}&key:source=J/AJ/140/34/table1&HTTPPRM:&&-ref=VIZ5e57ecdb58ba&-out.max=50&-out.form=Detailed results&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Nova&-out=Year&-out=T0&-out=Tpeak&-out=Vpeak&-out=t2&-out=t3&-out=t6&-out=t9&-out=l_VQ&-out=VQ&-out=tQ&-out=n_tQ&-out=Class&-out=lc&-ignore=lc=*&lc=lc&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/140/34/table1&
#-source= J/AJ/140/34/table3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out=Nova
#-out=Year
#-out=T0
#-out=Tpeak
#-out=Vpeak
#-out=t2
#-out=t3
#-out=t6
#-out=t9
#-out=l_VQ
#-out=VQ
#-out=tQ
#-out=n_tQ
#-out=Class
#-out=lc
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#-out.src=J/AJ/140/34/table1
#-source=J/AJ/140/34
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_51400034
#Name: J/AJ/140/34
#Title: Classification of nova light curves (Strope+, 2010)
#Table	J_AJ_140_34_table3:
#Name: J/AJ/140/34/table3
#Title: Definitions and examples of light curve classes
#Column	Class	(A1)	[SPDCOFJ] Class code	[ucd=meta.code.class]
#Column	Def	(a102)	Definition	[ucd=meta.note]
#Column	Ex	(a31)	Examples	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
Class|Def|Ex|Simbad
 | | |
-|------------------------------------------------------------------------------------------------------|-------------------------------|------
S|Smooth; power-law decline with no major fluctuations                                                  |CP Lac, V1668 Cyg, V2275 Cyg   |Simbad
P|Plateau; smooth decline interrupted by a long-lasting nearly flat interval followed by steeper decline|V4633 Sgr, CP Pup, RS Oph      |Simbad
D|Dust dip; decline interrupted by fast decline, minimum, and recovery to just below original decline   |DQ Her, FH Ser, V705 Cas       |Simbad
C|Cusp; power-law decline plus secondary maximum with steepening rise then steep decline                |V2362 Cyg, V1493 Aql, V2491 Cyg|Simbad
O|Oscillations; smooth decline with interval showing quasi-sinusoidal variations                        |V603 Aql, GK Per, V1494 Aql    |Simbad
F|Flat topped; smooth light curve with an extended interval at the peak with near constant brightness   |DO Aql, V849 Oph, BT Mon       |Simbad
J|Jitter; decline displays substantial variability often as short-duration brightenings                 |DK Lac, HR Del, V723 Cas       |Simbad

#Table	J_AJ_140_34_table1:
#Name: J/AJ/140/34/table1
#Title: Catalogued novae and their primary light curve properties
#Column	Nova	(A9)	Nova name	[ucd=meta.id;meta.main]
#Column	Year	(I4)	Year of discovery	[ucd=time.epoch]
#Column	T0	(I7)	Fiducial time (JD)	[ucd=time.epoch]
#Column	Tpeak	(I7)	Peak time (JD)	[ucd=time.epoch]
#Column	Vpeak	(F4.1)	Peak magnitude	[ucd=phot.mag;em.opt.V]
#Column	t2	(I3)	Time to decline by 2mag from maximum	[ucd=time.interval]
#Column	t3	(I3)	Time to decline by 3mag from maximum	[ucd=time.interval]
#Column	t6	(I4)	? Time to decline by 6mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	t9	(I4)	? Time to decline by 9mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	l_VQ	(A1)	[~>] Limit flag on VQ	[ucd=meta.code.error]
#Column	VQ	(F4.1)	Magnitude in quiescence	[ucd=phot.mag;em.opt.V]
#Column	tQ	(I5)	? Time of quiescence [NULL integer written as an empty string]	[ucd=time.interval]
#Column	n_tQ	(A1)	[a] bright quiescence (1)	[ucd=meta.note]
#Column	Class	(A6)	Class (2)	[ucd=meta.code;src.var]
#Column	lc	(A2)	light curve	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Nova|Year|T0|Tpeak|Vpeak|t2|t3|t6|t9|l_VQ|VQ|tQ|n_tQ|Class|lc|Simbad|_RA|_DE
V1188 Sco|2453667.000|   91.00|15.33| 0.03|  10
V373 Sct |2442529.500|    0.50| 9.40| 0.15|   1
V373 Sct |2442542.500|   13.50| 6.10| 0.15|   1
V373 Sct |2442549.500|   20.50| 7.80| 0.15|   1
V373 Sct |2442550.500|   21.50| 8.40| 0.15|   1
V373 Sct |2442551.500|   22.50| 7.80| 0.15|   1
V373 Sct |2442564.500|   35.50| 7.70| 0.15|   1
V373 Sct |2442573.500|   44.50| 7.30| 0.15|   1
V373 Sct |2442574.500|   45.50| 7.20| 0.15|   1
V373 Sct |2442578.500|   49.50| 7.90| 0.15|   1
V373 Sct |2442582.500|   53.50| 9.67| 0.14|   3
V373 Sct |2442583.500|   54.50| 9.00| 0.15|   1
V373 Sct |2442584.500|   55.50| 8.36| 0.06|   9
V373 Sct |2442585.500|   56.50| 8.20| 0.08|   4
V373 Sct |2442586.500|   57.50| 8.40| 0.21|   2
V373 Sct |2442587.500|   58.50| 8.15| 0.11|   4
V373 Sct |2442588.500|   59.50| 7.86| 0.07|   5
V373 Sct |2442589.500|   60.50| 8.36| 0.11|  10
V373 Sct |2442590.500|   61.50| 8.93| 0.16|   6
V373 Sct |2442591.500|   62.50| 9.50| 0.20|   4
V373 Sct |2442592.500|   63.50| 9.25| 0.12|  11
V373 Sct |2442593.500|   64.50| 9.43| 0.14|   9
V373 Sct |2442594.500|   65.50| 9.38| 0.07|  20
V373 Sct |2442595.500|   66.50| 9.40| 0.08|  17
V373 Sct |2442596.500|   67.50| 9.31| 0.08|  13
V373 Sct |2442597.500|   68.50| 9.43| 0.04|  19
V373 Sct |2442598.500|   69.50| 9.49| 0.05|  25
V373 Sct |2442599.500|   70.50| 8.74| 0.06|  23
V373 Sct |2442600.500|   71.50| 9.20| 0.08|  10
V373 Sct |2442601.500|   72.50| 9.47| 0.07|  12
V373 Sct |2442602.500|   73.50| 9.51| 0.07|  10
V373 Sct |2442603.500|   74.50| 9.44| 0.05|  14
V373 Sct |2442604.500|   75.50| 9.67| 0.08|  10
V373 Sct |2442605.500|   76.50| 9.50| 0.06|  16
V373 Sct |2442606.500|   77.50| 9.89| 0.14|   9
V373 Sct |2442607.500|   78.50| 9.59| 0.11|   7
V373 Sct |2442608.500|   79.50| 9.86| 0.05|  14
V373 Sct |2442609.500|   80.50| 9.56| 0.05|  21
V373 Sct |2442610.500|   81.50| 9.77| 0.04|  15
V373 Sct |2442611.500|   82.50| 9.66| 0.03|  20
V373 Sct |2442612.500|   83.50| 9.31| 0.07|   9
V373 Sct |2442613.500|   84.50| 9.53| 0.09|   3
V373 Sct |2442614.500|   85.50| 9.55| 0.11|   2
V373 Sct |2442615.500|   86.50| 9.72| 0.06|  10
V373 Sct |2442616.500|   87.50| 9.32| 0.06|  13
V373 Sct |2442617.500|   88.50| 9.60| 0.12|   3
V373 Sct |2442618.500|   89.50| 9.44| 0.06|  11
V373 Sct |2442619.500|   90.50| 8.96| 0.08|  15
V373 Sct |2442620.500|   91.50| 9.02| 0.03|  38
V373 Sct |2442621.500|   92.50| 9.40| 0.03|  25
V373 Sct |2442622.500|   93.50| 9.40| 0.03|  31
V373 Sct |2442623.500|   94.50| 9.61| 0.04|  27
V373 Sct |2442624.500|   95.50| 9.68| 0.03|  38
V373 Sct |2442625.500|   96.50|10.01| 0.12|   7
V373 Sct |2442626.500|   97.50|10.06| 0.06|  17
V373 Sct |2442627.500|   98.50|10.27| 0.07|  17
V373 Sct |2442628.500|   99.50|10.15| 0.06|  16
V373 Sct |2442629.500|  100.50|10.15| 0.09|  15
V373 Sct |2442632.000|  103.00|10.20| 0.03|  79
V373 Sct |2442636.000|  107.00|10.27| 0.04|  49
V373 Sct |2442640.000|  111.00|10.30| 0.06|  22
V373 Sct |2442644.000|  115.00|10.55| 0.07|  22
V373 Sct |2442648.000|  119.00|10.47| 0.04|  16
V373 Sct |2442652.000|  123.00|10.45| 0.04|  53
V373 Sct |2442656.000|  127.00|10.36| 0.04|  30
V373 Sct |2442660.000|  131.00|10.66| 0.04|  47
V373 Sct |2442664.000|  135.00|10.70| 0.05|  49
V373 Sct |2442668.000|  139.00|10.90| 0.06|  25
V373 Sct |2442672.000|  143.00|11.10| 0.12|   8
V373 Sct |2442676.000|  147.00|10.94| 0.12|  11
V373 Sct |2442680.000|  151.00|10.98| 0.06|  18
V373 Sct |2442686.000|  157.00|11.17| 0.04|  74
V373 Sct |2442694.000|  165.00|11.26| 0.04|  56
V373 Sct |2442702.000|  173.00|11.18| 0.08|  15
V373 Sct |2442710.000|  181.00|11.48| 0.06|  43
V373 Sct |2442718.000|  189.00|11.53| 0.07|  30
V373 Sct |2442726.000|  197.00|11.71| 0.08|  14
V373 Sct |2442734.000|  205.00|11.67| 0.14|   3
V373 Sct |2442742.000|  213.00|11.71| 0.11|  10
V373 Sct |2442750.000|  221.00|11.80| 0.22|   6
V373 Sct |2442826.000|  297.00|12.60| 0.15|   1
V373 Sct |2442842.000|  313.00|12.95| 0.32|   2
V373 Sct |2442858.000|  329.00|13.50| 0.15|   1
V373 Sct |2442874.000|  345.00|13.50| 0.15|   1
V373 Sct |2442906.000|  377.00|13.78| 0.14|   4
V373 Sct |2442922.000|  393.00|13.80| 0.15|   1
V373 Sct |2442954.000|  425.00|13.93| 0.07|   6
V373 Sct |2442978.000|  449.00|13.90| 0.10|   9
V373 Sct |2443010.000|  481.00|14.02| 0.10|  10
V373 Sct |2443042.000|  513.00|14.23| 0.09|   8
V373 Sct |2443074.000|  545.00|14.37| 0.06|   6
V373 Sct |2443442.000|  913.00|15.40| 0.15|   1
V373 Sct |2443762.000| 1233.00|14.30| 0.15|   1
V373 Sct |2444402.000| 1873.00|16.50| 0.15|   1
V443 Sct |2447778.250|    0.25| 9.50| 0.15|   1
V443 Sct |2447786.750|    8.75| 8.50| 0.15|   1
V443 Sct |2447787.750|    9.75| 9.00| 0.15|   1
V443 Sct |2447789.750|   11.75|10.30| 0.15|   1
V443 Sct |2447791.250|   13.25|10.90| 0.15|   1
V443 Sct |2447792.750|   14.75|11.00| 0.15|   1
V443 Sct |2447794.250|   16.25|10.10| 0.15|   1
V443 Sct |2447795.250|   17.25|10.55| 0.11|   2
V443 Sct |2447795.750|   17.75|10.40| 0.15|   1
V443 Sct |2447796.250|   18.25| 9.88| 0.12|   5
V443 Sct |2447796.750|   18.75|10.23| 0.10|   3
V443 Sct |2447797.250|   19.25| 9.94| 0.05|  15
V443 Sct |2447797.750|   19.75|10.25| 0.11|   2
V443 Sct |2447798.250|   20.25|10.01| 0.05|  13
V443 Sct |2447798.750|   20.75| 9.75| 0.12|   6
V443 Sct |2447799.250|   21.25| 9.73| 0.14|   4
V443 Sct |2447799.750|   21.75| 9.79| 0.12|   7
V443 Sct |2447800.250|   22.25| 9.60| 0.11|   2
V443 Sct |2447800.750|   22.75| 9.63| 0.06|   7
V443 Sct |2447801.250|   23.25| 9.88| 0.06|  13
V443 Sct |2447801.750|   23.75| 9.90| 0.15|   1
V443 Sct |2447802.250|   24.25| 9.86| 0.05|  14
V443 Sct |2447802.750|   24.75| 9.76| 0.15|   5
V443 Sct |2447803.250|   25.25| 9.78| 0.08|  10
V443 Sct |2447803.750|   25.75| 9.66| 0.12|   7
V443 Sct |2447804.250|   26.25| 9.94| 0.08|   9
V443 Sct |2447804.750|   26.75| 9.90| 0.06|   8
V443 Sct |2447805.250|   27.25|10.42| 0.07|   5
V443 Sct |2447805.750|   27.75|10.50| 0.28|   2
V443 Sct |2447806.250|   28.25|11.32| 0.10|   5
V443 Sct |2447806.750|   28.75|11.40| 0.15|   1
V443 Sct |2447807.750|   29.75|11.10| 0.15|   1
V443 Sct |2447808.250|   30.25|11.00| 0.15|   1
V443 Sct |2447808.750|   30.75|11.45| 0.18|   2
V443 Sct |2447809.250|   31.25|10.82| 0.09|   5
V443 Sct |2447809.750|   31.75|10.60| 0.14|   4
V443 Sct |2447810.500|   32.50|11.07| 0.12|   3
V443 Sct |2447811.500|   33.50|10.93| 0.15|   6
V443 Sct |2447812.500|   34.50|11.00| 0.13|   9
V443 Sct |2447813.500|   35.50|10.82| 0.11|  11
V443 Sct |2447814.500|   36.50|10.33| 0.09|   3
V443 Sct |2447815.500|   37.50|10.43| 0.10|   7
V443 Sct |2447816.500|   38.50|10.39| 0.12|   7
V443 Sct |2447817.500|   39.50|10.16| 0.10|   8
V443 Sct |2447818.500|   40.50|10.05| 0.09|   6
V443 Sct |2447819.500|   41.50| 9.84| 0.16|   5
V443 Sct |2447820.500|   42.50|10.20| 0.17|   3
V443 Sct |2447821.500|   43.50|10.90| 0.03|  15
V443 Sct |2447822.500|   44.50|11.42| 0.11|  10
V443 Sct |2447823.500|   45.50|11.57| 0.09|  13
V443 Sct |2447824.500|   46.50|11.76| 0.07|  18
V443 Sct |2447825.500|   47.50|11.65| 0.07|  16
V443 Sct |2447826.500|   48.50|11.59| 0.11|   9
V443 Sct |2447827.500|   49.50|11.32| 0.06|  16
V443 Sct |2447828.500|   50.50|11.18| 0.06|  14
V443 Sct |2447829.500|   51.50|11.18| 0.08|  14
V443 Sct |2447831.000|   53.00|11.04| 0.06|  14
V443 Sct |2447833.000|   55.00|11.12| 0.05|  29
V443 Sct |2447835.000|   57.00|10.99| 0.05|  16
V443 Sct |2447837.000|   59.00|11.35| 0.11|   2
V443 Sct |2447839.000|   61.00|11.03| 0.27|   4
V443 Sct |2447841.000|   63.00|11.08| 0.11|   8
V443 Sct |2447843.000|   65.00|11.18| 0.12|   9
V443 Sct |2447845.000|   67.00|11.70| 0.17|   3
V443 Sct |2447847.000|   69.00|11.50| 0.19|   6
V443 Sct |2447849.000|   71.00|11.99| 0.08|   8
V443 Sct |2447852.000|   74.00|11.98| 0.16|   5
V443 Sct |2447856.000|   78.00|11.68| 0.10|   9
V443 Sct |2447860.000|   82.00|12.06| 0.06|  13
V443 Sct |2447864.000|   86.00|12.13| 0.11|  12
V443 Sct |2447868.000|   90.00|11.70| 0.15|   1
V443 Sct |2447880.000|  102.00|12.80| 0.15|   1
V443 Sct |2447922.000|  144.00|12.50| 0.15|   1
V443 Sct |2447938.000|  160.00|13.05| 0.25|   2
V443 Sct |2447954.000|  176.00|13.05| 0.06|   6
V443 Sct |2447970.000|  192.00|13.40| 0.15|   1
V443 Sct |2447986.000|  208.00|13.24| 0.08|   5
V443 Sct |2448002.000|  224.00|13.30| 0.07|   5
V443 Sct |2448018.000|  240.00|13.20| 0.05|   9
V443 Sct |2448034.000|  256.00|13.41| 0.07|   9
V443 Sct |2448050.000|  272.00|13.33| 0.08|   4
V443 Sct |2448066.000|  288.00|13.54| 0.06|  16
V443 Sct |2448082.000|  304.00|13.87| 0.09|   3
V443 Sct |2448098.000|  320.00|13.80| 0.09|   7
V443 Sct |2448114.000|  336.00|13.93| 0.09|   3
V443 Sct |2448130.000|  352.00|13.94| 0.09|   5
V443 Sct |2448146.000|  368.00|14.03| 0.17|   4
V443 Sct |2448162.000|  384.00|13.90| 0.15|   1
V443 Sct |2448178.000|  400.00|14.14| 0.22|   5
V443 Sct |2448434.000|  656.00|14.50| 0.15|   1
FH Ser   |2440631.250|    0.25| 7.00| 0.15|   1
FH Ser   |2440633.250|    2.25| 5.00| 0.15|   1
FH Ser   |2440634.250|    3.25| 4.50| 0.15|   1
FH Ser   |2440634.750|    3.75| 5.00| 0.15|   1
FH Ser   |2440635.250|    4.25| 4.70| 0.15|   1
FH Ser   |2440635.750|    4.75| 4.60| 0.22|   3
FH Ser   |2440636.750|    5.75| 5.00| 0.15|   1
FH Ser   |2440637.750|    6.75| 4.68| 0.07|   9
FH Ser   |2440638.750|    7.75| 4.79| 0.08|  10
FH Ser   |2440639.750|    8.75| 4.70| 0.06|   9
FH Ser   |2440640.500|    9.50| 4.56| 0.06|   7
FH Ser   |2440641.500|   10.50| 4.69| 0.07|  11
FH Ser   |2440642.500|   11.50| 4.68| 0.15|   5
FH Ser   |2440643.500|   12.50| 4.66| 0.05|   8
FH Ser   |2440644.500|   13.50| 4.87| 0.09|   3
FH Ser   |2440645.500|   14.50| 4.93| 0.15|   3
FH Ser   |2440646.500|   15.50| 5.22| 0.09|   6
FH Ser   |2440647.500|   16.50| 5.30| 0.15|   1
FH Ser   |2440648.500|   17.50| 5.72| 0.08|   5
FH Ser   |2440649.500|   18.50| 5.30| 0.11|   2
FH Ser   |2440650.500|   19.50| 5.20| 0.15|   1
FH Ser   |2440651.500|   20.50| 5.43| 0.06|   7
FH Ser   |2440652.500|   21.50| 5.55| 0.13|   4
FH Ser   |2440653.500|   22.50| 5.67| 0.12|   7
FH Ser   |2440654.500|   23.50| 5.84| 0.06|   7
FH Ser   |2440655.500|   24.50| 5.68| 0.08|   6
FH Ser   |2440656.500|   25.50| 5.77| 0.09|   3
FH Ser   |2440657.500|   26.50| 5.87| 0.09|   3
FH Ser   |2440658.500|   27.50| 5.90| 0.11|   2
FH Ser   |2440659.500|   28.50| 5.75| 0.11|   2
FH Ser   |2440660.500|   29.50| 5.60| 0.06|   6
FH Ser   |2440661.500|   30.50| 5.47| 0.04|  15
FH Ser   |2440662.500|   31.50| 5.70| 0.11|   5
FH Ser   |2440663.500|   32.50| 5.90| 0.10|   3
FH Ser   |2440664.500|   33.50| 5.77| 0.09|   3
FH Ser   |2440665.500|   34.50| 5.70| 0.15|   1
FH Ser   |2440666.500|   35.50| 5.80| 0.09|   3
FH Ser   |2440667.500|   36.50| 5.75| 0.18|   2
FH Ser   |2440669.500|   38.50| 5.83| 0.02|  12
FH Ser   |2440670.500|   39.50| 6.10| 0.09|   6
FH Ser   |2440671.500|   40.50| 6.00| 0.09|   3
FH Ser   |2440672.500|   41.50| 6.02| 0.08|   5
FH Ser   |2440673.500|   42.50| 6.19| 0.06|   7
FH Ser   |2440674.500|   43.50| 6.28| 0.07|   6
FH Ser   |2440675.500|   44.50| 6.30| 0.09|   4
FH Ser   |2440676.500|   45.50| 6.10| 0.09|   3
FH Ser   |2440677.500|   46.50| 6.20| 0.15|   1
FH Ser   |2440678.500|   47.50| 6.41| 0.09|   8
FH Ser   |2440679.500|   48.50| 6.38| 0.10|   5
FH Ser   |2440680.500|   49.50| 6.53| 0.03|  18
FH Ser   |2440681.500|   50.50| 6.62| 0.06|  10
FH Ser   |2440682.500|   51.50| 6.55| 0.06|   8
FH Ser   |2440683.500|   52.50| 6.47| 0.04|  14
FH Ser   |2440684.500|   53.50| 6.62| 0.02|  16
FH Ser   |2440685.500|   54.50| 6.60| 0.08|   4
FH Ser   |2440686.500|   55.50| 6.63| 0.06|   7
FH Ser   |2440687.500|   56.50| 6.73| 0.08|   4
FH Ser   |2440688.500|   57.50| 6.63| 0.09|   3
FH Ser   |2440689.500|   58.50| 6.90| 0.15|   1
FH Ser   |2440691.500|   60.50| 7.08| 0.05|  11
FH Ser   |2440692.500|   61.50| 6.87| 0.07|   6
FH Ser   |2440693.500|   62.50| 7.20| 0.15|   1
FH Ser   |2440694.500|   63.50| 6.85| 0.11|   2
FH Ser   |2440695.500|   64.50| 7.68| 0.08|   4
FH Ser   |2440696.500|   65.50| 7.30| 0.15|   1
FH Ser   |2440697.500|   66.50| 8.30| 0.15|   1
FH Ser   |2440698.500|   67.50| 7.93| 0.35|   3
FH Ser   |2440699.500|   68.50| 8.60| 0.15|   1
FH Ser   |2440700.500|   69.50| 9.15| 0.11|   2
FH Ser   |2440701.500|   70.50| 9.10| 0.16|   3
FH Ser   |2440702.500|   71.50| 9.20| 0.15|   1
FH Ser   |2440703.500|   72.50| 9.63| 0.10|   3
FH Ser   |2440705.500|   74.50| 9.90| 0.15|   1
FH Ser   |2440707.500|   76.50| 9.70| 0.15|   1
FH Ser   |2440708.500|   77.50|10.25| 0.11|   2
FH Ser   |2440709.500|   78.50|10.10| 0.15|   1
FH Ser   |2440710.500|   79.50|10.40| 0.24|   3
FH Ser   |2440711.500|   80.50|10.23| 0.10|   4
FH Ser   |2440712.500|   81.50|10.57| 0.11|   6
FH Ser   |2440713.500|   82.50|10.58| 0.16|   5
FH Ser   |2440714.500|   83.50|10.64| 0.07|   5
FH Ser   |2440715.500|   84.50|10.60| 0.15|   1
FH Ser   |2440716.500|   85.50|10.35| 0.11|   2
FH Ser   |2440717.500|   86.50|11.20| 0.15|   1
FH Ser   |2440718.500|   87.50|10.10| 0.15|   1
FH Ser   |2440720.500|   89.50|11.20| 0.14|   2
FH Ser   |2440724.500|   93.50|11.40| 0.15|   1
FH Ser   |2440725.500|   94.50|11.27| 0.20|   3
FH Ser   |2440727.500|   96.50|11.35| 0.25|   2
FH Ser   |2440730.500|   99.50|11.80| 0.15|   1
FH Ser   |2440731.500|  100.50|11.95| 0.19|   4
FH Ser   |2440733.500|  102.50|11.10| 0.21|   2
FH Ser   |2440734.500|  103.50|11.24| 0.15|   5
FH Ser   |2440735.500|  104.50|11.65| 0.08|   4
FH Ser   |2440737.500|  106.50|11.50| 0.15|   1
FH Ser   |2440739.500|  108.50|12.07| 0.28|   3
FH Ser   |2440742.000|  111.00|11.70| 0.12|  13
FH Ser   |2440746.000|  115.00|11.32| 0.06|  11
FH Ser   |2440750.000|  119.00|11.28| 0.20|   9
FH Ser   |2440754.000|  123.00|10.93| 0.12|   3
FH Ser   |2440758.000|  127.00|10.90| 0.17|   6
FH Ser   |2440762.000|  131.00|10.85| 0.07|  11
FH Ser   |2440766.000|  135.00|10.52| 0.14|  10
FH Ser   |2440770.000|  139.00|10.50| 0.23|   5
FH Ser   |2440774.000|  143.00|10.48| 0.09|  17
FH Ser   |2440778.000|  147.00|10.50| 0.22|   4
FH Ser   |2440782.000|  151.00|10.50| 0.15|   4
FH Ser   |2440786.000|  155.00|10.65| 0.11|   2
FH Ser   |2440790.000|  159.00|10.30| 0.09|   7
FH Ser   |2440794.000|  163.00|10.12| 0.03|  11
FH Ser   |2440798.000|  167.00|10.15| 0.05|   8
FH Ser   |2440802.000|  171.00|10.16| 0.06|  14
FH Ser   |2440806.000|  175.00| 9.98| 0.05|   8
FH Ser   |2440810.000|  179.00|10.34| 0.07|   8
FH Ser   |2440814.000|  183.00|10.30| 0.09|   3
FH Ser   |2440818.000|  187.00| 9.98| 0.07|   5
FH Ser   |2440822.000|  191.00|10.07| 0.13|   7
FH Ser   |2440826.000|  195.00|10.19| 0.04|  11
FH Ser   |2440830.000|  199.00|10.10| 0.10|   5
FH Ser   |2440834.000|  203.00|10.11| 0.05|   9
FH Ser   |2440838.000|  207.00|10.10| 0.09|  10
FH Ser   |2440842.000|  211.00|10.13| 0.08|   7
FH Ser   |2440846.000|  215.00|10.25| 0.08|   4
FH Ser   |2440850.000|  219.00|10.08| 0.04|  14
FH Ser   |2440856.000|  225.00|10.02| 0.04|  16
FH Ser   |2440864.000|  233.00|10.12| 0.06|  10
FH Ser   |2440872.000|  241.00|10.20| 0.10|   5
FH Ser   |2440880.000|  249.00|10.15| 0.06|  13
FH Ser   |2440888.000|  257.00|10.12| 0.05|  10
FH Ser   |2440896.000|  265.00|10.00| 0.09|   3
FH Ser   |2440904.000|  273.00|10.20| 0.11|   2
FH Ser   |2440912.000|  281.00|10.05| 0.08|   4
FH Ser   |2440920.000|  289.00|10.40| 0.15|   1
FH Ser   |2440928.000|  297.00|10.00| 0.15|   1
FH Ser   |2440980.000|  349.00|10.70| 0.08|   4
FH Ser   |2440996.000|  365.00|10.57| 0.09|   3
FH Ser   |2441012.000|  381.00|10.37| 0.09|   3
FH Ser   |2441028.000|  397.00|10.30| 0.12|   4
FH Ser   |2441044.000|  413.00|10.49| 0.06|  14
FH Ser   |2441060.000|  429.00|10.55| 0.07|  14
FH Ser   |2441076.000|  445.00|10.73| 0.09|  12
FH Ser   |2441092.000|  461.00|10.59| 0.09|  15
FH Ser   |2441108.000|  477.00|10.73| 0.08|  18
FH Ser   |2441124.000|  493.00|10.72| 0.06|  24
FH Ser   |2441140.000|  509.00|10.82| 0.05|  35
FH Ser   |2441156.000|  525.00|10.77| 0.06|  28
FH Ser   |2441172.000|  541.00|10.94| 0.05|  25
FH Ser   |2441188.000|  557.00|10.82| 0.06|  20
FH Ser   |2441204.000|  573.00|11.05| 0.07|  18
FH Ser   |2441220.000|  589.00|11.01| 0.05|  16
FH Ser   |2441236.000|  605.00|11.06| 0.06|  26
FH Ser   |2441252.000|  621.00|11.17| 0.06|  11
FH Ser   |2441268.000|  637.00|11.44| 0.05|   9
FH Ser   |2441284.000|  653.00|11.43| 0.12|   3
FH Ser   |2441300.000|  669.00|11.40| 0.14|   2
FH Ser   |2441364.000|  733.00|11.85| 0.11|   2
FH Ser   |2441380.000|  749.00|11.40| 0.15|   1
FH Ser   |2441396.000|  765.00|11.83| 0.12|   7
FH Ser   |2441412.000|  781.00|11.93| 0.14|   3
FH Ser   |2441444.000|  813.00|11.77| 0.06|   6
FH Ser   |2441460.000|  829.00|11.99| 0.10|   8
FH Ser   |2441476.000|  845.00|12.06| 0.13|  11
FH Ser   |2441492.000|  861.00|12.42| 0.12|   5
FH Ser   |2441508.000|  877.00|12.17| 0.08|  12
FH Ser   |2441524.000|  893.00|12.23| 0.20|   4
FH Ser   |2441540.000|  909.00|12.33| 0.10|   7
FH Ser   |2441556.000|  925.00|12.20| 0.12|   3
FH Ser   |2441572.000|  941.00|12.50| 0.09|   7
FH Ser   |2441588.000|  957.00|12.46| 0.15|   9
FH Ser   |2441604.000|  973.00|12.65| 0.11|   2
FH Ser   |2441628.000|  997.00|12.73| 0.08|   4
FH Ser   |2441660.000| 1029.00|12.60| 0.15|   1
FH Ser   |2441756.000| 1125.00|12.80| 0.15|   1
FH Ser   |2441788.000| 1157.00|12.60| 0.17|   3
FH Ser   |2441820.000| 1189.00|12.70| 0.11|   2
FH Ser   |2441852.000| 1221.00|12.76| 0.10|   5
FH Ser   |2441884.000| 1253.00|12.86| 0.08|   5
FH Ser   |2441916.000| 1285.00|12.90| 0.09|   8
FH Ser   |2441948.000| 1317.00|12.90| 0.14|   2
FH Ser   |2441980.000| 1349.00|12.85| 0.11|   2
FH Ser   |2442076.000| 1445.00|13.00| 0.11|   2
FH Ser   |2442108.000| 1477.00|12.90| 0.15|   1
FH Ser   |2442140.000| 1509.00|12.95| 0.11|   2
FH Ser   |2442172.000| 1541.00|13.13| 0.08|   4
FH Ser   |2442204.000| 1573.00|13.70| 0.22|   3
FH Ser   |2442236.000| 1605.00|13.77| 0.15|   3
FH Ser   |2442268.000| 1637.00|13.67| 0.10|   3
FH Ser   |2442300.000| 1669.00|13.50| 0.15|   1
FH Ser   |2442332.000| 1701.00|13.65| 0.11|   2
FH Ser   |2442524.000| 1893.00|14.10| 0.15|   1
FH Ser   |2442556.000| 1925.00|14.20| 0.15|   1
FH Ser   |2442620.000| 1989.00|14.35| 0.11|   2
FH Ser   |2442652.000| 2021.00|14.15| 0.11|   2
FH Ser   |2442684.000| 2053.00|14.50| 0.15|   1
